osm_type,osm_id,name,name_en,name_km,category,subtype,activities,lat,lon,province,city,address,website,phone,wikipedia,wikidata,description,opening_hours,fee,all_tags_json
node,539342854,Prasat Prei Prasat (Nokor Krau),Chan Ta Oun temple,ប្រាសាទព្រៃប្រាសាទ,cultural,place_of_worship,,13.4602112,103.8412686,,"Nokor Krau, Kok Chak, Krong Siem Reap, Siem Reap province","13.46026, 103.84111",,,,,"A sandstone temple tower lying a stone throw away north of Prasat Chrung Piek Peayop lays the remains of a Jayavarman VII, Bayon era temple that is in great condition with a very beautiful setting.",,,"{""abandoned:amenity"": ""place_of_worship"", ""access"": ""yes"", ""addr:city"": ""Nokor Krau, Kok Chak, Krong Siem Reap, Siem Reap province"", ""addr:street"": ""13.46026, 103.84111"", ""alt_name"": ""Prasat Ta Oun, Prasat Chan Ta Oun, Prasat Kok Prasat"", ""amenity"": ""place_of_worship"", ""description"": ""A sandstone temple tower lying a stone throw away north of Prasat Chrung Piek Peayop lays the remains of a Jayavarman VII, Bayon era temple that is in great condition with a very beautiful setting."", ""historic:civilization"": ""angkor_period"", ""name"": ""Prasat Prei Prasat (Nokor Krau)"", ""name:en"": ""Chan Ta Oun temple"", ""name:km"": ""ប្រាសាទព្រៃប្រាសាទ"", ""note"": ""Part of\tYasodharapura III, Angkor\nBuilder\tJayavarman VII\nArt Style\tBayon\nMaterial\tLaterite, Sandstone\nReligion\tBuddhism\nDeity\tBuddha, Lokeshvara"", ""religion"": ""buddhist"", ""ruins"": ""buddhist_temple"", ""start_date"": ""Late 12th Century""}"
node,539342856,វត្តវិសុទ្ធិមគ្គ,Wat Visotthimok,,cultural,place_of_worship,,13.5300624,103.8642311,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""វត្តវិសុទ្ធិមគ្គ"", ""name:en"": ""Wat Visotthimok"", ""religion"": ""buddhist""}"
node,567307595,Lbek Vari Poa Rangsey Pagoda,,,cultural,place_of_worship,,13.4344385,103.724278,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Lbek Vari Poa Rangsey Pagoda"", ""religion"": ""buddhist""}"
node,567307823,Amvat Pagoda,,,cultural,place_of_worship,,13.4453862,103.7168073,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Amvat Pagoda"", ""religion"": ""buddhist""}"
node,567322359,Sama Thithan Pagoda,,,cultural,place_of_worship,,13.3692071,103.7257061,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Sama Thithan Pagoda"", ""religion"": ""buddhist""}"
node,567323386,Am Pil Pagoda,,,cultural,place_of_worship,,13.4065416,103.7313749,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Am Pil Pagoda"", ""religion"": ""buddhist""}"
node,568938665,ភ្នំក្រោម,Phnom Krom,,nature,peak,hiking,13.2859927,103.8122464,,,,,,en:Phnom Krom,Q960387,,,,"{""ele"": ""140"", ""name"": ""ភ្នំក្រោម"", ""name:en"": ""Phnom Krom"", ""natural"": ""peak"", ""wikidata"": ""Q960387"", ""wikipedia"": ""en:Phnom Krom""}"
node,568954785,Atvear Pagoda,,,cultural,place_of_worship,,13.3240288,103.8415178,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Atvear Pagoda"", ""religion"": ""buddhist""}"
node,569030639,Roka Pagoa,Roka Pagoda,,cultural,place_of_worship,,13.3126715,103.9949322,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Roka Pagoa"", ""name:en"": ""Roka Pagoda"", ""religion"": ""buddhist""}"
node,569032615,Khsach Pagoda,,,cultural,place_of_worship,,13.2934602,104.0568993,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Khsach Pagoda"", ""religion"": ""buddhist""}"
node,569851522,Prasat Bantey Srey,,,cultural,ruins,,13.2540929,104.120144,,,,,,,,,,,"{""historic"": ""ruins"", ""name"": ""Prasat Bantey Srey""}"
node,569858310,Koh Koun Sat Pagoda,,,cultural,place_of_worship,,13.3200719,104.0655244,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Koh Koun Sat Pagoda"", ""religion"": ""buddhist""}"
node,569859877,Preah Bat 4 San Than Pagoda,,,cultural,place_of_worship,,13.436264,104.140226,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Preah Bat 4 San Than Pagoda"", ""religion"": ""buddhist""}"
node,569860784,Sam Yot Temple,,,cultural,attraction,,13.4538199,104.1888726,,,,,,,,,,,"{""building"": ""yes"", ""historic"": ""ruins"", ""name"": ""Sam Yot Temple"", ""source"": ""https://helloangkor.com/attractions/sam-yot-pr/"", ""tourism"": ""attraction""}"
node,569875934,Sovan Preaksakorki Pagoda,,,cultural,place_of_worship,,13.3546146,104.0359296,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Sovan Preaksakorki Pagoda"", ""religion"": ""buddhist""}"
node,569877070,Pagoda,,,cultural,place_of_worship,,13.4695227,104.0652842,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Pagoda"", ""religion"": ""buddhist""}"
node,569877406,Prasat Prom Teous,,,cultural,monument,,13.5598202,104.0701198,,,,,,,,,,,"{""historic"": ""monument"", ""monument"": ""prasat"", ""name"": ""Prasat Prom Teous""}"
node,569878842,Wat Kok Chan,,វត្តគោកចាន់,cultural,place_of_worship,,13.3899811,103.9237885,,"Kok Chan, Ampil, Krong Siem Reap, Siem Reap province","13.38996, 103.92373",https://beyondangkor.org/index.php/Wat_Kok_Chan,,,,"This site has not been listed on CISARK, however the modern temple sits inside a moat with an east entrance causeway that leads onto a small rectangular man-made reservoir across the national road. This would indicate that the modern temple was built on t",,,"{""addr:city"": ""Kok Chan, Ampil, Krong Siem Reap, Siem Reap province"", ""addr:street"": ""13.38996, 103.92373"", ""amenity"": ""place_of_worship"", ""building"": ""temple"", ""description"": ""This site has not been listed on CISARK, however the modern temple sits inside a moat with an east entrance causeway that leads onto a small rectangular man-made reservoir across the national road. This would indicate that the modern temple was built on t"", ""name"": ""Wat Kok Chan"", ""name:km"": ""វត្តគោកចាន់"", ""religion"": ""buddhist"", ""website"": ""https://beyondangkor.org/index.php/Wat_Kok_Chan""}"
node,569879861,Phnom Teap Pagoda,,,cultural,place_of_worship,,13.5172018,103.9981547,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Phnom Teap Pagoda"", ""religion"": ""buddhist""}"
node,569880079,Banteaysrey Pagoda,,,cultural,place_of_worship,,13.5452841,104.0024907,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""building"": ""temple"", ""name"": ""Banteaysrey Pagoda"", ""religion"": ""buddhist""}"
node,569880168,Pagoda,,,cultural,place_of_worship,,13.5770607,103.9816581,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Pagoda"", ""religion"": ""buddhist""}"
node,569882995,Prasat Tor,Tor temple,,cultural,ruins,,13.4562362,103.955422,,,,,,,,,,,"{""abandoned:amenity"": ""place_of_worship"", ""access"": ""yes"", ""building"": ""temple"", ""historic"": ""ruins"", ""historic:civilization"": ""angkor_period"", ""name"": ""Prasat Tor"", ""name:de"": ""Sat To"", ""name:en"": ""Tor temple"", ""name:nl"": ""Tor tempel"", ""ruins"": ""temple""}"
node,569883210,Pagoda,,,cultural,place_of_worship,,13.461475,103.9932322,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Pagoda"", ""religion"": ""buddhist""}"
node,570459800,Prasat Patri,,ប្រាសាទ​ប៉ាទ្រី,cultural,place_of_worship,,13.3781201,103.8332483,,Kruos,,,,,,,,,"{""addr:city"": ""Kruos"", ""amenity"": ""place_of_worship"", ""name"": ""Prasat Patri"", ""name:km"": ""ប្រាសាទ​ប៉ាទ្រី"", ""religion"": ""hindu""}"
node,570459923,Prasat Kandal Reach,,ប្រាសាទកណ្តាលរាជ,cultural,place_of_worship,,13.3756445,103.8469956,,"Kok Chak, Krong Siem Reap, Siem Reap province","13.37559, 103.84701",,,,,"The remains of a small brick ruin literally in the inner suburbs of Siem Reap Municipality. Unfortunately nothing much remains in situ besides a few fragments of bricks, laterite and sandstone blocks and the base or foundation of the temple with a small s",,,"{""addr:city"": ""Kok Chak, Krong Siem Reap, Siem Reap province"", ""addr:street"": ""13.37559, 103.84701"", ""alt_name"": ""Tuol Prasat Reach Chanthol, Prasat Kok Kroes, Prasat Reach Chantoal"", ""amenity"": ""place_of_worship"", ""description"": ""The remains of a small brick ruin literally in the inner suburbs of Siem Reap Municipality. Unfortunately nothing much remains in situ besides a few fragments of bricks, laterite and sandstone blocks and the base or foundation of the temple with a small s"", ""name"": ""Prasat Kandal Reach"", ""name:km"": ""ប្រាសាទកណ្តាលរាជ"", ""note"": ""Material\tBrick, Sandstone, Laterite"", ""religion"": ""hindu""}"
node,570459929,Prasat Kok Chak,Kok Chork temple,ប្រាសាទគោកចក,cultural,place_of_worship,,13.3873543,103.8462496,,"Teaksen Tbong, Kok Chak, Krong Siem Reap, Siem Reap province","13.38730, 103.84632",,,,,"Prasat Kok Chak is located in Siem Reap Town's western suburbs, around 500m north of the National 6. The small but historically important temple displays several unusual features. Firstly, it is one of the few temples that can be confidently credited to t",,,"{""access"": ""yes"", ""addr:city"": ""Teaksen Tbong, Kok Chak, Krong Siem Reap, Siem Reap province"", ""addr:street"": ""13.38730, 103.84632"", ""alt_name"": ""Prasat Chuk, Prasat Gork Chak, Wat Kok Chak"", ""amenity"": ""place_of_worship"", ""description"": ""Prasat Kok Chak is located in Siem Reap Town's western suburbs, around 500m north of the National 6. The small but historically important temple displays several unusual features. Firstly, it is one of the few temples that can be confidently credited to t"", ""historic:civilization"": ""angkor_period"", ""name"": ""Prasat Kok Chak"", ""name:en"": ""Kok Chork temple"", ""name:km"": ""ប្រាសាទគោកចក"", ""note"": ""Part of\tAngkor\nBuilder\tJayavarman III\nArt Style\tKulen\nMaterial\tBrick\nReligion\tHinduism\nDeity\tVishnu"", ""religion"": ""hindu"", ""ruins"": ""buddhist_temple"", ""start_date"": ""Mid-9th Century""}"
node,570488578,វត្តព្រះអង្គតាំងទូក,,វត្តព្រះអង្គតាំងទូក,cultural,place_of_worship,,13.4468566,103.863647,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""វត្តព្រះអង្គតាំងទូក"", ""name:de"": ""Preah Ang Tang Touk Pagoda"", ""name:km"": ""វត្តព្រះអង្គតាំងទូក"", ""religion"": ""buddhist""}"
node,570488582,Prasat Phnom Rong,Phnom Run temple,ប្រាសាទ​ភ្នំរុង,cultural,place_of_worship,,13.4504192,103.7709677,,Kok Thmei,,,,,,,,,"{""access"": ""yes"", ""addr:city"": ""Kok Thmei"", ""amenity"": ""place_of_worship"", ""historic:civilization"": ""angkor_period"", ""name"": ""Prasat Phnom Rong"", ""name:en"": ""Phnom Run temple"", ""name:km"": ""ប្រាសាទ​ភ្នំរុង"", ""religion"": ""hindu"", ""ruins"": ""buddhist_temple"", ""start_date"": ""late C7- C8""}"
node,570496913,ស្ពានថ្ម,Spean Thmor bridge,,cultural,attraction,,13.4462562,103.8802439,,,,,,en:Spean Thma,Q1092616,,,,"{""abandoned:amenity"": ""place_of_worship"", ""access"": ""yes"", ""alt_name:en"": ""Spean Thma"", ""building"": ""temple"", ""description:en"": ""Ruins covered by Trees"", ""historic"": ""ruins"", ""historic:civilization"": ""angkor_period"", ""name"": ""ស្ពានថ្ម"", ""name:de"": ""Spean Thmor"", ""name:en"": ""Spean Thmor bridge"", ""name:nl"": ""Spean Thmor brug"", ""ruins"": ""bridge"", ""tourism"": ""attraction"", ""wikidata"": ""Q1092616"", ""wikipedia"": ""en:Spean Thma""}"
node,570496918,Prasat Kok Po,Kok Po temple,ប្រាសាទគោកពោធិ៍,cultural,place_of_worship,,13.465779,103.7756731,,Kok Po,,,,,,,,,"{""access"": ""yes"", ""addr:city"": ""Kok Po"", ""amenity"": ""place_of_worship"", ""historic:civilization"": ""angkor_period"", ""name"": ""Prasat Kok Po"", ""name:en"": ""Kok Po temple"", ""name:km"": ""ប្រាសាទគោកពោធិ៍"", ""religion"": ""buddhist"", ""ruins"": ""buddhist_temple"", ""start_date"": ""C8-C9""}"
node,570497115,Rean Bay Ka Ek,Rean Bay Ka Ek,,cultural,ruins,,13.4566274,103.953935,,,,,,,,,,,"{""abandoned:amenity"": ""place_of_worship"", ""building"": ""temple"", ""historic"": ""ruins"", ""name:de"": ""Rean Bay Ka Ek"", ""name:en"": ""Rean Bay Ka Ek"", ""ruins"": ""temple""}"
node,613272106,Wat Phnom Sambok,,,cultural,attraction,,12.5627602,106.020197,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Wat Phnom Sambok"", ""religion"": ""buddhist"", ""tourism"": ""attraction""}"
node,642009938,ព្រះអុង់ធំវត្ត,Preah Ong Thom Pagoda,,cultural,place_of_worship,,13.5638231,104.1111907,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""ព្រះអុង់ធំវត្ត"", ""name:en"": ""Preah Ong Thom Pagoda"", ""religion"": ""buddhist""}"
node,642009944,ក្បាលស្ពាន,One thousand Lingas,,cultural,yes,,13.5661406,104.1018537,,,,,,km:ក្បាលស្ពាន,Q1092603,,,,"{""historic"": ""ruins"", ""name"": ""ក្បាលស្ពាន"", ""name:en"": ""One thousand Lingas"", ""ruins"": ""temple"", ""tourism"": ""yes"", ""wikidata"": ""Q1092603"", ""wikipedia"": ""km:ក្បាលស្ពាន""}"
node,645727695,Artisans d'Angkor,,សិប្បករអង្គរ,attraction,attraction,,13.3526196,103.8518371,,Siem Reap,Stung Thmey Street,http://www.artisansdangkor.com/,+855 (0)63 963 330,,,Arts and Craft workshops,Mo-Su 07:30-18:30,,"{""addr:city"": ""Siem Reap"", ""addr:country"": ""KH"", ""addr:street"": ""Stung Thmey Street"", ""craft"": ""handicraft"", ""description"": ""Arts and Craft workshops"", ""name"": ""Artisans d'Angkor"", ""name:km"": ""សិប្បករអង្គរ"", ""opening_hours"": ""Mo-Su 07:30-18:30"", ""phone"": ""+855 (0)63 963 330"", ""shop"": ""craft"", ""tourism"": ""attraction"", ""website"": ""http://www.artisansdangkor.com/""}"
node,677412110,Phnom Chhngok Temple,,,cultural,place_of_worship,,10.6422016,104.269419,,,,,,,,,,yes,"{""amenity"": ""place_of_worship"", ""charge"": ""1 $"", ""check_date"": ""2025-01-02"", ""fee"": ""yes"", ""name"": ""Phnom Chhngok Temple"", ""religion"": ""buddhist""}"
node,677442677,Phnom Sorcia Temple,,,cultural,place_of_worship,,10.5658056,104.2844636,,,,,,,,,,,"{""alt_name"": ""Phnom Sasear Temple"", ""amenity"": ""place_of_worship"", ""name"": ""Phnom Sorcia Temple"", ""religion"": ""spiritualist""}"
node,678469498,Wat Roka Kandal chas,,,cultural,place_of_worship,,12.4664393,106.0255903,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Wat Roka Kandal chas"", ""religion"": ""buddhist""}"
node,678826997,Pottery factories,,,attraction,attraction,,12.246057,104.6315047,,,,,,,,,,,"{""name"": ""Pottery factories"", ""tourism"": ""attraction""}"
node,679024093,Phneat Koh Pong Sat,,,attraction,attraction,,13.5884039,103.036779,,,,,,,,fish breeding by monks,,,"{""description"": ""fish breeding by monks"", ""name"": ""Phneat Koh Pong Sat"", ""tourism"": ""attraction""}"
node,679494497,Sambor Prei Kuk temple,,,cultural,ruins,,12.8644842,105.0361345,,,,,,,,,,,"{""historic"": ""ruins"", ""name"": ""Sambor Prei Kuk temple""}"
node,679494498,Trapeang Ropeak,,,cultural,ruins,,12.8642709,105.0372041,,,,,,,,,,,"{""historic"": ""ruins"", ""name"": ""Trapeang Ropeak"", ""ruins"": ""prasat""}"
node,679494545,Boch Riam,,,cultural,ruins,,12.8725328,105.0421703,,,,,,,,,,,"{""historic"": ""ruins"", ""name"": ""Boch Riam"", ""ruins"": ""prasat""}"
node,679494546,Prasat Sambor N9,,ប្រាសាទសំបូ,cultural,ruins,,12.8711641,105.0434185,,Sambor village,"12.87121, 105.04343",,,,,,,,"{""addr:city"": ""Sambor village"", ""addr:street"": ""12.87121, 105.04343"", ""amenity"": ""place_of_worship"", ""building"": ""prasat"", ""denomination"": ""shaivism"", ""historic"": ""ruins"", ""name"": ""Prasat Sambor N9"", ""name:km"": ""ប្រាសាទសំបូ"", ""note"": ""Builder\tBhavavarman I, Isanavarman I"", ""ref"": ""N9"", ""religion"": ""hindu"", ""start_date"": ""Late-6th to 7th Century""}"
node,681284746,L'Bak nKamronh rapids,,,attraction,attraction,,12.3003541,103.5713405,,,,,,,,,,,"{""name"": ""L'Bak nKamronh rapids"", ""tourism"": ""attraction""}"
node,860954295,Wat Ba Phnom,,,cultural,place_of_worship,,11.2561243,105.3890437,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""image"": ""https://drive.google.com/file/d/0B7Fwb6PHLH-JRFNTNFQ2WHNtUUU/view?usp=sharing"", ""name"": ""Wat Ba Phnom"", ""religion"": ""buddhist""}"
node,907854557,Wat Phnum Santuk,,,cultural,attraction,,12.6449032,105.0020608,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Wat Phnum Santuk"", ""religion"": ""buddhist"", ""tourism"": ""attraction""}"
node,977670680,Wat Samathi,,,cultural,place_of_worship,,10.500153,104.3137402,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Wat Samathi"", ""religion"": ""buddhist""}"
node,995506416,Two Golden Lions,,,cultural,attraction,,10.6106376,103.5236432,,,,,,,,,,,"{""historic"": ""monument"", ""name"": ""Two Golden Lions"", ""name:zh"": ""双狮广场"", ""tourism"": ""attraction""}"
node,1057540684,Santouk Mountain,Santouk Mountain,,attraction,viewpoint,,12.6443458,105.0012779,,,,,,,,,,,"{""name:en"": ""Santouk Mountain"", ""tourism"": ""viewpoint""}"
node,1058558752,Prasat Sambor N10,,ប្រាសាទសំបូ,cultural,ruins,,12.870523,105.0434082,,Sambor village,"12.87051, 105.04349",,,,,,,,"{""addr:city"": ""Sambor village"", ""addr:street"": ""12.87051, 105.04349"", ""amenity"": ""place_of_worship"", ""building"": ""prasat"", ""denomination"": ""shaivism"", ""historic"": ""ruins"", ""name"": ""Prasat Sambor N10"", ""name:km"": ""ប្រាសាទសំបូ"", ""note"": ""Builder\tBhavavarman I, Isanavarman I"", ""ref"": ""N10"", ""religion"": ""hindu"", ""start_date"": ""Late-6th to 7th Century""}"
node,1058558788,Prasat Sambor N7,,ប្រាសាទសំបូ,cultural,ruins,,12.8705241,105.0427191,,Sambor village,"12.87052, 105.04276",,,,,,,,"{""addr:city"": ""Sambor village"", ""addr:street"": ""12.87052, 105.04276"", ""amenity"": ""place_of_worship"", ""building"": ""prasat"", ""denomination"": ""shaivism"", ""historic"": ""ruins"", ""name"": ""Prasat Sambor N7"", ""name:km"": ""ប្រាសាទសំបូ"", ""note"": ""Builder\tBhavavarman I, Isanavarman I"", ""ref"": ""N7"", ""religion"": ""hindu"", ""start_date"": ""Late-6th to 7th Century""}"
